idea,category,team_size,funding_k,market_size,outcome
An affordable service that helps home cooks with money and neobank.,FinTech,18,43.8,7,Success
A next gen product for seniors to discover workout and in game rewards.,Gaming,2,85.0,4,Fail
A AI powered solution for students to connect with fashion retail and data reporting.,SaaS,9,68.1,2,Fail
An hyperlocal startup that helps seniors with telemedicine and symptom checker.,HealthTech,4,130.3,7,Fail
"A app offering leaderboards, gamers and more for women.",Gaming,14,134.5,6,Success
A on demand app for startups to manage mutual funds and micro loans.,FinTech,9,99.3,3,Fail
A hyperlocal product for young professionals to learn team management and collaboration.,SaaS,15,110.7,8,Success
An all in one solution that helps urban families with destinations and homestays.,Travel,6,154.0,10,Success
An smart website that helps seniors with shopping and brand outlet.,Ecommerce,13,111.1,8,Success
An affordable product that helps travelers with grocery delivery and meals.,FoodTech,13,355.2,3,Success
"A service offering medical, healthtech and more for home cooks.",HealthTech,5,137.4,5,Success
A next gen app that lets small businesses access dropshipping through local sellers.,Ecommerce,9,52.8,7,Fail
"A app offering quizzes, boutique and more for women.",EdTech,17,354.9,8,Success
A smart website that lets urban families organize money through lending.,FinTech,5,363.9,5,Success
A affordable product that lets young professionals learn tutoring through certification.,EdTech,13,101.3,3,Fail
A next gen product that lets teenagers learn customer support software through workspace.,SaaS,6,127.2,7,Success
"A startup offering health tracking, mental wellness and more for small businesses.",HealthTech,9,40.5,8,Success
A peer to peer website for small businesses to track remote teams and booking.,Travel,8,50.1,6,Success
A personalized website that lets women book level challenges through hotels.,Travel,9,73.6,7,Success
A peer to peer startup that lets students access local tours through booking.,Travel,7,202.7,6,Success
A hyperlocal product for gamers to automate learning app and online courses.,EdTech,5,110.7,7,Fail
A community driven platform for women to save on symptom checker and fantasy sports.,Gaming,7,317.4,7,Fail
"A app offering gaming, game streaming and more for freelancers.",Gaming,10,91.2,4,Fail
An community driven product that helps travelers with dining and meals.,FoodTech,6,196.3,6,Fail
"A product offering multiplayer arena, level challenges and more for small businesses.",Gaming,11,206.3,7,Fail
"A platform offering cooking, catering and more for young professionals.",FoodTech,7,155.3,6,Fail
A smart website for women to share backpacking and travel itinerary.,Travel,5,178.3,9,Success
A hyperlocal website for young professionals to track gaming and game community.,Gaming,11,121.4,8,Success
A hyperlocal solution that lets gamers access ecommerce through reselling.,Ecommerce,8,76.7,5,Fail
An peer to peer service that helps young professionals with esports tournaments and storefront.,Ecommerce,6,250.6,5,Success
A all in one app for teenagers to compare travel and trip planning.,Travel,2,150.0,10,Success
A community driven solution that lets students connect with courses through edtech.,EdTech,8,216.6,5,Fail
"A website offering retail, dropshipping and more for home cooks.",Ecommerce,5,186.9,10,Success
An community driven startup that helps gamers with subscription boxes and products.,Ecommerce,1,102.8,4,Fail
"A solution offering deals, storefront and more for teenagers.",Ecommerce,6,28.4,5,Fail
"A website offering wellness, healthtech and more for young professionals.",HealthTech,4,97.8,7,Success
A AI powered service for students to learn upskilling and classroom.,EdTech,5,58.6,8,Success
A AI powered platform that lets startups connect with game community through esports tournaments.,Gaming,6,389.6,4,Success
"A service offering doctor appointments, diet planning and more for urban families.",HealthTech,10,179.0,6,Success
"A service offering business tools, dashboard and more for urban families.",SaaS,1,93.3,9,Success
A on demand platform that lets gamers share foodtech through cloud kitchen.,FoodTech,7,128.8,7,Fail
An next gen product that helps small businesses with saas and b2b.,SaaS,13,91.0,8,Success
A affordable service for gamers to organize workout and wellness.,HealthTech,14,152.7,7,Success
An smart website that helps gamers with ecommerce and micro loans.,Ecommerce,9,377.4,6,Success
An AI powered app that helps gamers with neobank and fitness.,HealthTech,8,228.2,7,Fail
"A service offering brand outlet, d2c and more for small businesses.",Ecommerce,9,61.1,4,Fail
A AI powered service that lets startups learn cloud kitchen through cooking.,FoodTech,8,195.8,9,Success
A affordable solution that lets teenagers manage dining through catering.,FoodTech,16,191.4,6,Success
"A product offering ecommerce, brand outlet and more for small businesses.",Ecommerce,12,82.4,8,Fail
A community driven app that lets urban families organize crm through project management.,SaaS,6,192.8,5,Success
A affordable product for startups to connect with patient records and healthtech.,HealthTech,10,157.0,5,Fail
A next gen solution that lets startups track courses through education.,EdTech,8,59.6,8,Success
An hyperlocal app that helps gamers with loans and investing.,FinTech,14,87.8,7,Success
"A product offering mental wellness, wellness and more for teenagers.",HealthTech,6,180.7,7,Success
"A service offering destinations, homestays and more for freelancers.",Travel,5,164.2,6,Success
"A startup offering meal planning, food and more for home cooks.",FoodTech,12,194.6,9,Success
"A app offering collaboration, hr platform and more for teenagers.",SaaS,4,273.9,5,Success
An on demand platform that helps small businesses with edtech and e-learning.,EdTech,9,145.0,5,Success
A affordable startup that lets startups discover automation through crm software.,SaaS,7,182.5,7,Fail
An on demand product that helps startups with symptom checker and medicine delivery.,HealthTech,6,415.2,3,Success
An peer to peer service that helps travelers with mobile game and play to earn rewards.,Gaming,13,205.4,7,Success
A next gen platform for gamers to organize handmade products and brand outlet.,Ecommerce,18,170.0,6,Success
A AI powered app that lets women book holidays through trips.,Travel,10,60.6,5,Fail
A community driven platform for home cooks to connect with tourism guide and booking.,Travel,3,114.4,5,Fail
"A solution offering product discovery, reselling and more for students.",Ecommerce,14,395.3,7,Success
"A product offering banking, digital wallet and more for travelers.",FinTech,7,86.0,5,Fail
"A solution offering tour packages, tourism guide and more for teenagers.",Travel,12,86.0,2,Fail
A hyperlocal platform for freelancers to organize level challenges and game community.,Gaming,1,87.2,6,Fail
"A website offering tournaments, arcade and more for small businesses.",Gaming,13,80.0,7,Success
A peer to peer service that lets urban families connect with trip planning through money.,FinTech,9,42.6,3,Fail
A peer to peer solution that lets home cooks learn live tutoring through study groups.,EdTech,6,152.7,6,Fail
"A platform offering cloud kitchen, foodtech and more for women.",FoodTech,8,214.6,10,Success
A AI powered product that lets urban families share doctor appointments through mental health.,HealthTech,6,258.1,6,Fail
"A product offering fashion retail, dropshipping and more for startups.",Ecommerce,9,109.7,5,Fail
"A service offering productivity software, recipes and more for women.",SaaS,15,170.2,4,Success
A personalized solution for freelancers to organize cooking and food ordering.,FoodTech,2,387.1,4,Success
An peer to peer website that helps small businesses with e-learning and savings.,FinTech,13,252.7,3,Fail
A all in one product that lets teenagers save on upskilling through edtech.,EdTech,13,81.0,3,Fail
A all in one product for startups to connect with arcade and telemedicine.,Gaming,2,82.8,8,Success
An AI powered service that helps gamers with shopping and handmade products.,Ecommerce,5,113.5,3,Fail
A peer to peer solution that lets travelers track cooking through meals.,FoodTech,16,301.0,9,Fail
A peer to peer app that lets travelers book upskilling through certification.,EdTech,13,215.9,7,Success
An personalized product that helps travelers with diet planning and doctor appointments.,HealthTech,11,63.3,9,Success
A community driven platform for travelers to access payment app and stocks.,FinTech,6,224.0,4,Success
A smart startup that lets small businesses compare deals through boutique.,Ecommerce,10,492.3,5,Fail
A all in one app that lets seniors learn saas through enterprise software.,SaaS,10,116.2,7,Success
A personalized app for women to access travel itinerary and fantasy sports.,Travel,10,150.8,8,Success
A all in one app that lets students share game community through fantasy sports.,Gaming,15,214.4,4,Success
A next gen service that lets students book restaurant booking through players.,Gaming,9,92.9,5,Fail
A on demand app that lets home cooks manage esports tournaments through puzzle game.,Gaming,12,260.0,5,Success
A personalized website that lets small businesses access business tools through crm software.,SaaS,8,127.5,8,Success
A peer to peer startup that lets teenagers access hotel booking through food.,FoodTech,2,63.2,8,Fail
An peer to peer startup that helps urban families with workout and d2c.,HealthTech,12,118.6,5,Success
"A service offering casual games, metaverse and more for urban families.",Gaming,16,101.8,6,Success
An hyperlocal product that helps students with mobile game and casual games.,Gaming,10,106.2,7,Success
An community driven platform that helps urban families with tour packages and homestays.,Travel,11,600.0,4,Success
An community driven service that helps young professionals with multiplayer arena and metaverse.,Gaming,11,150.9,6,Fail
An affordable product that helps travelers with homework help and learning app.,EdTech,11,249.9,2,Fail
An AI powered solution that helps gamers with medicine delivery and mental health.,HealthTech,10,112.7,3,Fail
"A platform offering groceries, products and more for teenagers.",Ecommerce,11,192.4,5,Success
A peer to peer platform that lets teenagers share crm software through invoicing tool.,SaaS,2,34.3,6,Fail
A AI powered product for home cooks to discover loans and recipes.,FinTech,9,588.7,6,Success
"A solution offering getaways, tourism guide and more for home cooks.",Travel,11,138.5,6,Success
An on demand website that helps home cooks with workout and symptom checker.,HealthTech,9,171.6,6,Fail
"A product offering nutrition, therapy sessions and more for freelancers.",HealthTech,2,446.3,6,Success
A AI powered service for travelers to book retail and ecommerce.,Ecommerce,11,190.5,4,Fail
"A website offering remote teams, teleconsultation and more for women.",HealthTech,12,24.3,8,Success
A peer to peer app for women to track dashboard and saas.,SaaS,9,86.8,6,Success
An smart solution that helps students with b2b and project management.,SaaS,16,165.7,5,Fail
A community driven platform for home cooks to manage puzzle game and arcade.,Gaming,11,109.9,8,Fail
"A platform offering tourism guide, test prep and more for women.",Travel,11,118.6,7,Success
A all in one website for students to discover local chefs and tax filing.,FinTech,10,123.6,7,Success
A AI powered app that lets gamers track flight deals through destinations.,Travel,12,187.9,6,Success
An personalized solution that helps gamers with products and restaurant booking.,Ecommerce,5,123.2,4,Fail
An all in one platform that helps home cooks with analytics dashboard and project management.,SaaS,11,107.4,9,Fail
A hyperlocal website for gamers to save on homestays and travel.,Travel,10,311.4,7,Success
A on demand website that lets urban families organize e-learning through edtech.,EdTech,11,111.5,7,Fail
A on demand app for urban families to automate tools and data reporting.,SaaS,13,181.9,9,Fail
A community driven platform for teenagers to compare local sellers and storefront.,Ecommerce,5,236.1,4,Success
An on demand app that helps students with digital wallet and investing.,FinTech,5,109.8,9,Success
A peer to peer platform for women to manage e-learning and study groups.,EdTech,8,191.1,7,Success
A all in one startup that lets seniors book arcade through gamers.,Gaming,1,208.4,8,Fail
A community driven startup that lets young professionals organize product discovery through retail.,Ecommerce,12,260.5,7,Success
"A website offering storefront, home cooked meals and more for seniors.",Ecommerce,11,78.3,6,Fail
An peer to peer service that helps urban families with analytics dashboard and game studio.,Gaming,8,544.8,7,Success
An personalized solution that helps small businesses with flight deals and backpacking.,Travel,10,107.6,3,Fail
A hyperlocal solution that lets travelers track credit score through stocks.,FinTech,14,112.7,1,Success
An personalized product that helps small businesses with workflow automation and software.,SaaS,10,321.5,3,Success
"A startup offering team management, enterprise software and more for startups.",SaaS,4,119.6,5,Fail
A on demand app that lets seniors connect with travel booking through local tours.,Travel,8,100.3,4,Fail
"A service offering reselling, online shopping and more for women.",Ecommerce,11,189.7,5,Fail
